Word,Label,Correction
ලියමි,1,-
පවතින,0,ගුණාත්මක
මනාවම,0,නොවැලැක්විය
නැගෙන්නට,0,විනිවිද
උපදෙස්ට,0,ගැටලූවක්
සැලැස්ම,1,-
සංචාරකේ,0,එකතුකෙරේ
කාලීන,1,-
පවතින,0,පාර්ශව
නතරවිය,1,-
සන්සුන්,1,-
අතේ,0,ගුණාත්මක
කියවති,0,කාලීන
නවීනට,0,අපි
කතාකළා,1,-
තෙරට,0,පාර්ශව
සැලැස්මට,0,විකසිත
කියවීම,1,-
කැපවීම,1,-
හදන්න,0,දියුණු
තෙරට,0,සමානයේ
එකලඟ,1,-
අන්තර්ගතේ,0,නවීන
නතරවියා,0,මනා
කියවීම,1,-
කියවුමි,0,පසුව
නොවැලැක්වුම,0,තෙර
ඉන්දු,1,-
එකතුකෙරේ,1,-
වෙලාවට,1,-
කැපවීම,1,-
අයදුම්පත්,1,-
පරිකල්පනය,1,-
වෙලාවටා,0,අපි
අවශ්‍ය,1,-
ඉගැන්වුව,0,ගැටලුව
අරඹන,1,-
සතුටට,0,අරමුදල
විනිවිදට,0,සැලැස්ම
සටහන,1,-
විකසිතේ,0,විසින්
අර්ථවත්ට,0,ගමනක්
ගමනක්,1,-
කියවූ,1,-
එකතුකෙරේට,0,කාර්ය
කියවුම,0,ආරක්ෂාව
වෙනුවෙන්ට,0,ගැටලු
ගැටලුව,0,අත
කෙරේ,1,-
පාර්ශවට,0,දියුණු
පවති,1,-
සතුටට,0,පාර්ශව
ඇතුළුව,0,කියවමි
හදන්න,0,නොගැටුනු
ආරක්‍ෂාව,0,පහසුකම්
සැලසුම්,1,-
කියවූව,0,පසුව
කාලීන,1,-
වඩිමි,1,-
සැලසුම්,1,-
කියවති,0,අනුරූප
වෙලාවට,1,-
කථාකල,0,සටහන
සමගද,0,ගැටලු
ආරක්ෂාව,1,-
එකලඟ,1,-
සඳහාවට,0,කාර්ය
ගැටලු,1,-
විනිවිද,1,-
මනාවට,0,ගැටලුව
මමම,0,වඩිමි
නවීනට,0,දියුණු
අන්තර්ගතේ,0,අර්ථවත්
සටහනට,0,දියුණු
සමගද,0,කෙරේ
වෙනුවෙන්,1,-
අරමුදල,1,-
ගමන්ක්,0,විනිවිද
පරිනතට,0,කෙරෙමින්
සතුටට,0,ඇවිදිමු
ගියමි,1,-
ගැටලූවක්ට,0,සහ
දැනු,0,දියුණු
සංචාරක,1,-
වෙනුවෙන්ට,0,මිනිසුන්
හදන්න,0,පරිපාලන
කියවීම,1,-
සමගද,0,නැගෙන්නා
හදන්න,0,ගැටලූවක්
ඉන්දුට,0,ඉගැන්වුවා
අන්තර්ගත,1,-
සැලසුම්ව,0,වෙනුවෙන්
සමගද,0,වඩිමි
මනාවට,0,විධිමත්
සමග,1,-
සමග,1,-
සංචාරක,1,-
සන්සුන,0,කාලීන
මනාව,1,-
ගියෙය,0,ගෙදර
පෙර,1,-
ගියමි,1,-
අවශ්‍යව,0,සටහන
උපදෙස්ට,0,මම
සහද,0,ගුණාත්මක
ලියමි,1,-
සන්සුන්,1,-
ගෙදරට,0,නවීන
සතුට,1,-
සතුට,1,-
අවශ්‍යව,0,ගැටලූවක්
විකසිත,1,-
ගුණාත්මික,0,ගමනක්
සහද,0,නැගෙන්නා
වඩිති,0,කතාකළා
සටහනට,0,අරඹමි
අරබනවා,0,දිගහැරීම
කෙරෙමු,0,කියවීම
මනාව,1,-
ඇවිදින්නා,0,විධිමත්
කැපවුම,0,පසුව
අර්ථවත්ට,0,පාර්ශව
පරිනතට,0,සතුට
ඉස්මතුට,0,කියවමි
වඩිති,0,පසුව
එකලඟට,0,මිනිසුන්
පරිනතට,0,පරිපාලන
කාලීන,1,-
පාර්ශව,1,-
ඉස්මතුට,0,සැලැස්ම
කියවති,0,උපදෙස්
අපි,1,-
සංචාරකේ,0,වෙලාවට
පාර්ශවට,0,ගැටලු
කැපවුම,0,කියවමින්
ගැටලුව,0,ඇතුළු
අරබනවා,0,ඉන්දු
පාර්ශවට,0,වෙනස්
මනා,1,-
දියුණු,1,-
ගමනක්,1,-
සන්සුන,0,කියවමි
නොවැලැක්විය,1,-
සැලැස්මට,0,සතුට
පරිකල්පනයට,0,ඉගැන්වුවා
ගැටලු,1,-
ගැටලුවට,0,සැලැස්ම
අයදුම්පත්,1,-
නොගැටුනුට,0,කියවමින්
ගැටලුව,1,-
මනාවට,0,පාර්ශව
විධිමත්,1,-
පෙර,1,-
කියවුමි,0,සමානයේ
දිනුවා,1,-
තෙර,1,-
සඳහාවට,0,ඇවිදිමු
කියවුමි,0,කතාකළා
උපදෙස්,1,-
අරබනවා,0,මිනිසුන්
පරිකල්පනය,1,-
අරමුදල,1,-
නැගෙන්නා,1,-
මිනිසුන්,1,-
උපදෙස්ට,0,ඇවිදිමු
වඩිති,0,සංචාරක
වඩිමි,1,-
වෙනස්ව,0,වෙනුවෙන්
ඇවිදින්නා,0,මිනිසුන්
ගොඩනැගුවා,1,-
ගෙදර,1,-
සටහනට,0,කෙරෙමින්
පරිනතට,0,ගියමි
පරිනත,1,-
ගුණාත්මික,0,සතුට
පෙරට,0,විනිවිද
අත,1,-
විනිවිද,1,-
කාලීනට,0,අයදුම්පත්
පරිපාලනට,0,සමානයේ
පහසුකම්,1,-
එකලඟ,1,-
ගෙදරට,0,සමානයේ
ඉන්දුට,0,මනාව
පසුවා,0,සහ
සමග,1,-
විකසිතේ,0,එකතුකෙරේ
විධිමත්,1,-
නැගෙන්නට,0,සතුට
සහ,1,-
වෙනුවෙන්ට,0,මම
විකසිත,1,-
වෙනුවෙන්,1,-
සැලැස්මට,0,සන්සුන්
අරඹමි,1,-
ඉගැන්වුව,0,මනාව
තෙරට,0,එකතුකෙරේ
හොඳ,1,-
පෙර,1,-
වෙනුවෙන්,1,-
මිනිසුන්,1,-
හොද,0,විකසිත
ඉන්දුට,0,අරඹනවා
අරඹන,1,-
ආරක්‍ෂාව,0,තෙර
නොගැටුනු,1,-
සැලසුම්ව,0,ඇතුළු
මනාවම,0,අනුරූප
මනා,1,-
විකසිත,1,-
ඉස්මතුට,0,සඳහාව
ගුණාත්මක,1,-
අවශ්‍යව,0,සමග
දිගහැරීම,1,-
අරඹයි,0,කියවීම
ගමන්ක්,0,ගුණාත්මක
මනාවම,0,කියවූ
විසින්ට,0,පසුව
අරබනවා,0,අපි
අපි,1,-
මනා,1,-
අනුරූප,1,-
ගුණාත්මික,0,සහ
ගමනක්,1,-
ඇතුළුව,0,අපි
මනාව,1,-
අර්ථවත්,1,-
අරඹමි,1,-
කෙරේ,1,-
කාලීන,1,-
මිනිසුන්ට,0,අරඹමි
අන්තර්ගත,1,-
අරමුදල,1,-
පෙරට,0,වෙනස්
එකලඟ,1,-
එකලඟ,1,-
සතුට,1,-
ඇවිදිමු,1,-
කියවීම,1,-
කාලීන,1,-
නතරවියා,0,සටහන
හොඳ,1,-
අවශ්‍ය,1,-
ගැටලුවට,0,දැනුවත්
මනාවට,0,කාර්ය
දැනු,0,විනිවිද
කියවුම,0,ඉගැන්වුවා
අර්ථවත්ට,0,විසින්
අපි,1,-
දියුණුම,0,ගැටලු
කියවති,0,මම
අර්ථවත්,1,-
පෙරට,0,ඇවිදිමු
ගැටලුවට,0,මනාව
පවතින,0,දිගහැරීම
අන්තර්ගත,1,-
කැපවුම,0,හොඳ
අර්ථවත්,1,-
කෙරෙමින්,1,-
අර්ථවත්,1,-
පාර්ශවට,0,ආරක්ෂාව
ඉන්දු,1,-
ගැටලුව,1,-
පෙරට,0,අර්ථවත්
කියවති,0,වෙනුවෙන්
නොවැලැක්විය,1,-
කාර්යට,0,සහ
එකලඟට,0,ගැටලු
නැගෙන්නට,0,පරිකල්පනය
මිනිසුන්,1,-
අනුරූපට,0,ඉස්මතු
ඉන්දු,1,-
මිනිසුන්,1,-
සටහන,1,-
ඉන්දුට,0,දිනුවා
කියවමින්,1,-
කාලීන,1,-
අවශ්‍යව,0,නතරවිය
ඉන්දු,1,-
සමානේ,0,සතුට
වෙනුවෙන්,1,-
සැලසුම්,1,-
හදුවා,1,-
සංචාරක,1,-
සමානයේ,1,-
ඉස්මතු,1,-
මිනිසුන්ට,0,නතරවිය
ගැටලුවට,0,සමානයේ
මිනිසුන්ට,0,පෙර
එකතුකෙරේ,1,-
කියවති,0,ගැටලූවක්
ඉස්මතුට,0,කියවමින්
නවීන,1,-
පරිපාලන,1,-
සමානයේ,1,-
තෙරට,0,ඉගැන්වුවා
අත,1,-
සමග,1,-
පහසුකම්,1,-
අරඹනවා,1,-
කෙරේ,1,-
අරඹමි,1,-
අතේ,0,ගොඩනැගුවා
ගෙදරට,0,ගමනක්
පරිපාලන,1,-
ගියෙය,0,එකතුකෙරේ
දිගහැරීම,1,-
දිගහැරුම,0,එකලඟ
විනිවිදට,0,වඩිමි
සමානයේ,1,-
මනාවට,0,උපදෙස්
කියවමි,1,-
සහ,1,-
ඉස්මතුට,0,සැලැස්ම
වෙලාවටා,0,අරඹන
සන්සුන්,1,-
ඉස්මතු,1,-
අපිම,0,සටහන
පහසුකම්ට,0,මනාව
හදුවා,1,-
මනාව,1,-
දැනුවත්,1,-
සන්සුන්,1,-
ගෙදර,1,-
කියවුම,0,වෙනුවෙන්
හදුවා,1,-
අර්ථවත්,1,-
විකසිතේ,0,විකසිත
කියවූ,1,-
නොගැටුනු,1,-
හදන්න,0,සහ
මනාවට,0,හොඳ
අන්තර්ගතේ,0,මිනිසුන්
දියුණුම,0,සැලසුම්
සමග,1,-
මම,1,-
කෙරෙමු,0,සැලැස්ම
දියුණුම,0,එකලඟ
අන්තර්ගතේ,0,කෙරේ
අතේ,0,මනා
සංචාරකේ,0,දැනුවත්
පවතින,0,කතාකළා
වෙලාවටා,0,කතාකළා
කියවමි,1,-
උපදෙස්,1,-
නවීන,1,-
අනුරූප,1,-
ගැටලූවක්,1,-
විකසිත,1,-
මනාව,1,-
අර්ථවත්,1,-
දැනු,0,සංචාරක
විසින්ට,0,දියුණු
සමානයේ,1,-
ඇවිදිමු,1,-
සංචාරක,1,-
ඉගැන්වුවා,1,-
දියුණු,1,-
පසුව,1,-
ගැටලූවක්ට,0,එකලඟ
අන්තර්ගතේ,0,වෙනස්
අනුරූපට,0,පරිනත
ඉගැන්වුවා,1,-
පවතින,0,හොඳ
පරිනතට,0,සහ
ඇතුළු,1,-
ගුණාත්මික,0,අරමුදල
සමගද,0,කැපවීම
කියවුමි,0,කැපවීම
කාලීන,1,-
අපිම,0,කියවීම
නොගැටුනු,1,-
කියවති,0,කියවීම
පරිනත,1,-
ගුණාත්මක,1,-
වෙනුවෙන්ට,0,ගොඩනැගුවා
උපදෙස්ට,0,හොඳ
දියුණුම,0,දිගහැරීම
පරිනත,1,-
නවීන,1,-
තෙර,1,-
කාර්ය,1,-
ගැටලුව,0,සැලැස්ම
අර්ථවත්ට,0,අත
ගැටලුවට,0,පසුව
අවශ්‍ය,1,-
ඇතුළු,1,-
මනාව,1,-
විසින්ට,0,පාර්ශව
කියවූව,0,නවීන
අවශ්‍ය,1,-
පාර්ශව,1,-
මනාව,1,-
අතේ,0,පසුව
වෙලාවට,1,-
කියවීම,1,-
සහද,0,වෙනුවෙන්
එකතුකෙරේට,0,මම
පහසුකම්,1,-
පෙරට,0,ගොඩනැගුවා
නතරවියා,0,අරඹනවා
දිනුවා,1,-
අවශ්‍යව,0,පාර්ශව
කියවුම,0,මම
මනාව,1,-
අරඹන,1,-
කියවූ,1,-
පහසුකම්,1,-
පසුව,1,-
සමානයේ,1,-
නොවැලැක්වුම,0,වෙනුවෙන්
විනිවිද,1,-
පවතින,0,විකසිත
කියවූ,1,-
ඉගැන්වුව,0,අරමුදල
විකසිතේ,0,නවීන
කියවති,0,වඩිමි
ගොඩනැගුවාට,0,සංචාරක
වෙනස්ව,0,සමග
එකලඟ,1,-
නතරවියා,0,අවශ්‍ය
මනාවට,0,වෙලාවට
කියවුම,0,සන්සුන්
පරිපාලන,1,-
අරඹමි,1,-
විකසිත,1,-
ඇතුළුව,0,කාර්ය
කෙරෙමින්,1,-
ඉගැන්වුව,0,පරිපාලන
දැනුවත්,1,-
කියවමි,1,-
විසින්ට,0,හදුවා
ගියෙය,0,පාර්ශව
හදන්න,0,කතාකළා
ඉන්දු,1,-
දිනුව,0,ඇවිදිමු
අපිම,0,ගැටලූවක්
පරිපාලන,1,-
අපි,1,-
කියවුම,0,අනුරූප
ඉස්මතු,1,-
හොද,0,නැගෙන්නා
ඉස්මතු,1,-
තෙර,1,-
උපදෙස්,1,-
සහද,0,කැපවීම
අර්ථවත්ට,0,අරඹනවා
පවති,1,-
අවශ්‍යව,0,ගැටලු
සඳහාව,1,-
ඇවිදින්නා,0,ඉගැන්වුවා
ගුණාත්මික,0,නවීන
නවීන,1,-
පහසුකම්,1,-
වෙලාවටා,0,සැලැස්ම
සැලැස්මට,0,කෙරේ
නවීන,1,-
විනිවිද,1,-
කියවූව,0,මනාව
ඉගැන්වුවා,1,-
අරඹමි,1,-
ඇවිදිමු,1,-
ගෙදරට,0,විකසිත
අනුරූප,1,-
අත,1,-
විසින්,1,-
ආරක්ෂාව,1,-
පරිකල්පනයට,0,අරඹන
කියවූ,1,-
වෙලාවට,1,-
ගමන්ක්,0,නවීන
පෙරට,0,ආරක්ෂාව
කියවූව,0,කියවීම
නැගෙන්නා,1,-
ගැටලුවට,0,ගැටලුව
ගොඩනැගුවාට,0,සහ
ගොඩනැගුවා,1,-
අර්ථවත්ට,0,අත
පසුවා,0,අර්ථවත්
සටහන,1,-
මනා,1,-
නොගැටුනු,1,-
ඉන්දු,1,-
අන්තර්ගතේ,0,හදුවා
ගැටලුවට,0,අන්තර්ගත
කියවමි,1,-
නතරවිය,1,-
අයදුම්පත්,1,-
කියවමින්,1,-
අර්ථවත්,1,-
නතරවියා,0,ආරක්ෂාව
පෙර,1,-
පාර්ශවට,0,සමග
කියවුමි,0,අරඹනවා
අන්තර්ගතේ,0,මනා
උපදෙස්,1,-
ආරක්ෂාව,1,-
හොඳ,1,-
ගෙදර,1,-
උපදෙස්ට,0,දැනුවත්
