Word,Label,Correction
සඳහාවට,0,කාලීන
මනාව,1,-
අරමුදල,1,-
අයදුම්පත්ට,0,ගැටලු
මිනිසුන්ට,0,සඳහාව
අපි,1,-
මනාව,1,-
සැලැස්ම,1,-
අපිම,0,උපදෙස්
සටහන,1,-
වෙනුවෙන්,1,-
වෙනුවෙන්ට,0,මනාව
සඳහාවට,0,ගියමි
මිනිසුන්,1,-
අරඹමි,1,-
ගියමි,1,-
අයදුම්පත්ට,0,පාර්ශව
වඩිමි,1,-
අත,1,-
කෙරෙමු,0,ගමනක්
නතරවිය,1,-
නතරවිය,1,-
කියවමින්,1,-
පරිපාලනට,0,එකතුකෙරේ
මමම,0,අරඹනවා
පාර්ශවට,0,මනාව
වඩිති,0,සංචාරක
ගොඩනැගුවා,1,-
ගියෙය,0,සංචාරක
වෙලාවටා,0,අර්ථවත්
කැපවුම,0,අර්ථවත්
හදුවා,1,-
දැනුවත්,1,-
පරිකල්පනයට,0,පවති
සමානේ,0,මනා
හොඳ,1,-
නතරවියා,0,ගියමි
පරිකල්පනය,1,-
හදන්න,0,වෙනුවෙන්
විධිමත්ත,0,මිනිසුන්
අත,1,-
ඉස්මතුට,0,නොගැටුනු
ඉස්මතුට,0,අනුරූප
එකලඟ,1,-
මනාව,1,-
ඉගැන්වුවා,1,-
සහද,0,පාර්ශව
පෙර,1,-
නතරවිය,1,-
පරිකල්පනයට,0,ගැටලූවක්
නතරවිය,1,-
ගැටලුවට,0,සන්සුන්
විනිවිද,1,-
කියවමින්,1,-
අරබනවා,0,වෙනස්
දියුණු,1,-
පරිපාලන,1,-
කෙරෙමින්,1,-
දැනුවත්,1,-
සැලසුම්,1,-
සන්සුන,0,සැලැස්ම
මනාවම,0,සහ
නවීන,1,-
කියවූව,0,දැනුවත්
දිනුව,0,කාර්ය
සටහනට,0,එකතුකෙරේ
අරඹනවා,1,-
කියවුමි,0,සටහන
සටහන,1,-
ගැටලුවට,0,සහ
ඉස්මතු,1,-
නොගැටුනුට,0,අරඹනවා
කියවති,0,උපදෙස්
කෙරෙමින්,1,-
කාර්යට,0,සන්සුන්
උපදෙස්,1,-
සැලසුම්ව,0,ලියමි
ගැටලුව,1,-
සමානයේ,1,-
පවතින,0,දිනුවා
සන්සුන,0,මනා
සතුට,1,-
උපදෙස්ට,0,විසින්
ඉගැන්වුව,0,සමග
දියුණු,1,-
එකලඟ,1,-
ගැටලුව,1,-
වෙනුවෙන්ට,0,අරඹමි
දැනුවත්,1,-
සතුට,1,-
විසින්ට,0,පරිකල්පනය
ගොඩනැගුවාට,0,එකලඟ
දිගහැරීම,1,-
කාලීනට,0,සහ
අපි,1,-
කෙරේ,1,-
සන්සුන,0,අර්ථවත්
අපිම,0,හදුවා
විධිමත්,1,-
කියවූව,0,අවශ්‍ය
කියවූව,0,මනාව
එකතුකෙරේ,1,-
සඳහාවට,0,අරඹන
කියවූ,1,-
විසින්ට,0,සැලසුම්
සංචාරකේ,0,නැගෙන්නා
විසින්ට,0,කැපවීම
එකලඟට,0,අවශ්‍ය
නතරවිය,1,-
පරිකල්පනයට,0,පවති
පවති,1,-
ගමන්ක්,0,පෙර
මනා,1,-
සතුට,1,-
හොද,0,අනුරූප
අරඹමි,1,-
නොවැලැක්වුම,0,අපි
ඇවිදිමු,1,-
නවීන,1,-
ගියෙය,0,හදුවා
විනිවිද,1,-
ඉස්මතුට,0,කාලීන
ආරක්‍ෂාව,0,සැලැස්ම
පවති,1,-
දිගහැරුම,0,දැනුවත්
අරඹයි,0,නොගැටුනු
එකතුකෙරේට,0,අත
මම,1,-
කෙරේ,1,-
පෙරට,0,කියවමින්
මනාව,1,-
අන්තර්ගත,1,-
විධිමත්ත,0,අරඹන
හදන්න,0,සඳහාව
කියවුම,0,අත
ආරක්‍ෂාව,0,පරිකල්පනය
අරබනවා,0,කියවමින්
අරඹන,1,-
කතාකළා,1,-
කාර්ය,1,-
සැලැස්මට,0,වෙලාවට
නැගෙන්නට,0,විසින්
කථාකල,0,පරිපාලන
කථාකල,0,ඉගැන්වුවා
මනාවම,0,විසින්
තෙරට,0,ගැටලුව
කෙරේ,1,-
ගියෙය,0,නැගෙන්නා
හොද,0,ගියමි
ගැටලු,1,-
කැපවුම,0,අරඹනවා
වෙලාවට,1,-
පරිනතට,0,කියවූ
කාලීන,1,-
පවති,1,-
කැපවුම,0,ගැටලුව
වෙලාවට,1,-
පරිනත,1,-
සංචාරකේ,0,අරඹනවා
පෙරට,0,සමග
තෙර,1,-
විසින්ට,0,සමානයේ
එකලඟ,1,-
ඇතුළුව,0,පරිකල්පනය
කැපවීම,1,-
විනිවිදට,0,දිගහැරීම
පාර්ශව,1,-
අරබනවා,0,වෙනුවෙන්
අනුරූප,1,-
සැලසුම්ව,0,පවති
නොවැලැක්වුම,0,මනාව
ඉස්මතුට,0,පවති
එකතුකෙරේට,0,අපි
නවීන,1,-
නවීන,1,-
ආරක්‍ෂාව,0,කියවූ
සතුට,1,-
මනාවම,0,එකලඟ
ගෙදර,1,-
සැලසුම්,1,-
සංචාරක,1,-
ඉස්මතු,1,-
ගැටලු,1,-
සැලැස්මට,0,අනුරූප
පසුව,1,-
ගෙදරට,0,සතුට
ගමනක්,1,-
දිගහැරීම,1,-
සතුට,1,-
දැනුවත්,1,-
අපිම,0,කෙරෙමින්
කැපවුම,0,අන්තර්ගත
කාර්යට,0,සැලැස්ම
අතේ,0,නතරවිය
ගමන්ක්,0,ආරක්ෂාව
අරඹන,1,-
එකතුකෙරේ,1,-
ගුණාත්මක,1,-
තෙරට,0,අන්තර්ගත
විනිවිදට,0,ගුණාත්මක
දිනුවා,1,-
සමගද,0,සඳහාව
සටහනට,0,සමග
දිනුවා,1,-
සටහනට,0,හොඳ
වෙලාවටා,0,පාර්ශව
ලියමි,1,-
සහ,1,-
ගෙදරට,0,ගැටලුව
පරිකල්පනය,1,-
අන්තර්ගතේ,0,නැගෙන්නා
ලියමි,1,-
සැලැස්මට,0,නොගැටුනු
නොවැලැක්වුම,0,අන්තර්ගත
අතේ,0,වෙනුවෙන්
ඉගැන්වුවා,1,-
කෙරේ,1,-
නැගෙන්නට,0,හදුවා
සඳහාව,1,-
කෙරෙමින්,1,-
සහද,0,මම
නවීනට,0,විධිමත්
පවති,1,-
පෙර,1,-
මනාවට,0,සැලැස්ම
කතාකළා,1,-
පරිකල්පනය,1,-
නොවැලැක්වුම,0,ඇවිදිමු
අරඹමි,1,-
කියවූ,1,-
ගැටලූවක්,1,-
සමගද,0,ගොඩනැගුවා
පසුවා,0,කෙරේ
මම,1,-
කාලීන,1,-
අර්ථවත්ට,0,සන්සුන්
දියුණුම,0,සැලැස්ම
කියවති,0,පෙර
කාර්යට,0,වෙනුවෙන්
වෙනස්,1,-
ඇතුළුව,0,සැලසුම්
කාර්යට,0,අත
මිනිසුන්ට,0,හදුවා
ගුණාත්මික,0,ගුණාත්මක
එකතුකෙරේ,1,-
ගැටලූවක්ට,0,අත
කාලීනට,0,මිනිසුන්
ආරක්ෂාව,1,-
හොඳ,1,-
උපදෙස්,1,-
ඉන්දුට,0,කෙරෙමින්
අවශ්‍යව,0,ගොඩනැගුවා
කියවුම,0,දැනුවත්
ඉන්දුට,0,ඉන්දු
එකලඟට,0,සැලැස්ම
පාර්ශවට,0,වඩිමි
වෙලාවටා,0,ඉස්මතු
කතාකළා,1,-
ගැටලූවක්ට,0,අපි
පරිකල්පනයට,0,කාර්ය
ගියෙය,0,හදුවා
කාර්යට,0,කාර්ය
සටහන,1,-
සමානේ,0,වෙනස්
දිනුව,0,ලියමි
පෙර,1,-
දියුණු,1,-
මිනිසුන්,1,-
කියවති,0,දිනුවා
වෙනස්ව,0,අත
ගැටලු,1,-
පවතින,0,ගැටලූවක්
සැලසුම්ව,0,ගැටලු
අවශ්‍ය,1,-
කියවමින්,1,-
ගුණාත්මක,1,-
නොගැටුනු,1,-
කාලීන,1,-
අන්තර්ගත,1,-
විධිමත්ත,0,ගැටලූවක්
ඇවිදිමු,1,-
මමම,0,අයදුම්පත්
උපදෙස්ට,0,සැලැස්ම
පවතින,0,නැගෙන්නා
විකසිත,1,-
ඇවිදින්නා,0,සැලසුම්
තෙර,1,-
දිගහැරීම,1,-
නතරවියා,0,ගැටලුව
ගමන්ක්,0,මනාව
දිනුව,0,වෙලාවට
පරිනත,1,-
වෙනස්,1,-
පහසුකම්,1,-
එකතුකෙරේ,1,-
සැලැස්ම,1,-
කාර්ය,1,-
මමම,0,අරඹන
පවති,1,-
පරිකල්පනය,1,-
ගෙදරට,0,සංචාරක
කෙරෙමු,0,හදුවා
ඉස්මතු,1,-
ගුණාත්මික,0,කැපවීම
සහ,1,-
අයදුම්පත්,1,-
අයදුම්පත්,1,-
නැගෙන්නා,1,-
පවති,1,-
ගැටලූවක්ට,0,වෙනස්
නොවැලැක්වුම,0,අත
වඩිති,0,දියුණු
අරබනවා,0,අරඹන
කථාකල,0,පාර්ශව
සංචාරකේ,0,සංචාරක
දියුණු,1,-
පරිකල්පනයට,0,අරමුදල
සහද,0,පරිපාලන
කියවීම,1,-
අයදුම්පත්,1,-
ඉස්මතුට,0,ඇතුළු
කියවීම,1,-
සැලැස්ම,1,-
අනුරූපට,0,මම
පසුවා,0,ගැටලූවක්
කෙරෙමු,0,පසුව
අරඹයි,0,ලියමි
සැලැස්මට,0,කෙරේ
විසින්,1,-
ගැටලූවක්,1,-
එකලඟට,0,නැගෙන්නා
කෙරෙමින්,1,-
වෙලාවටා,0,අර්ථවත්
කියවුම,0,සමග
අරමුදල,1,-
අවශ්‍යව,0,අරඹන
වෙනුවෙන්,1,-
දියුණුම,0,සහ
මිනිසුන්ට,0,ගමනක්
සමග,1,-
පෙරට,0,සන්සුන්
අතේ,0,පරිකල්පනය
පාර්ශවට,0,මනා
ඇතුළුව,0,අරඹමි
වෙනස්ව,0,කතාකළා
පසුවා,0,මනාව
අන්තර්ගත,1,-
ගැටලූවක්,1,-
අරඹයි,0,වඩිමි
පෙර,1,-
සටහනට,0,පරිකල්පනය
ගැටලූවක්,1,-
අන්තර්ගතේ,0,එකලඟ
අයදුම්පත්,1,-
ගොඩනැගුවා,1,-
මිනිසුන්,1,-
සංචාරකේ,0,පහසුකම්
උපදෙස්,1,-
පාර්ශව,1,-
එකතුකෙරේට,0,නතරවිය
අපිම,0,විකසිත
කියවූ,1,-
තෙරට,0,සහ
විසින්,1,-
ගියෙය,0,පවති
මනාවට,0,කෙරේ
සඳහාවට,0,ඇවිදිමු
ගැටලුව,1,-
සටහන,1,-
ගමන්ක්,0,පරිකල්පනය
වඩිමි,1,-
අර්ථවත්ට,0,විනිවිද
වෙලාවටා,0,අපි
නොගැටුනුට,0,ඉන්දු
දිගහැරුම,0,දියුණු
එකතුකෙරේට,0,එකතුකෙරේ
නතරවියා,0,කියවීම
කියවූ,1,-
විසින්ට,0,අරමුදල
මනාව,1,-
දිගහැරීම,1,-
සමගද,0,එකතුකෙරේ
පවති,1,-
කාර්ය,1,-
කියවුම,0,උපදෙස්
ගෙදර,1,-
විසින්ට,0,සමානයේ
නොවැලැක්විය,1,-
විධිමත්ත,0,පසුව
දිගහැරුම,0,සැලැස්ම
ආරක්‍ෂාව,0,එකතුකෙරේ
එකතුකෙරේට,0,අපි
පහසුකම්ට,0,උපදෙස්
විසින්,1,-
ලියමි,1,-
සඳහාව,1,-
වෙලාවටා,0,කියවූ
ඉස්මතු,1,-
අරඹන,1,-
කෙරෙමින්,1,-
අතේ,0,නොගැටුනු
පසුවා,0,අපි
විධිමත්,1,-
මනාවට,0,සතුට
අනුරූපට,0,අරමුදල
සතුට,1,-
ඉන්දුට,0,නැගෙන්නා
විධිමත්,1,-
ගියෙය,0,දිනුවා
විසින්ට,0,කාර්ය
ඇවිදිමු,1,-
ආරක්‍ෂාව,0,අරඹනවා
මනාව,1,-
නවීනට,0,ගෙදර
කියවීම,1,-
අරඹනවා,1,-
කෙරෙමු,0,අත
කාලීනට,0,මනාව
දියුණු,1,-
මනාවම,0,සන්සුන්
අරඹන,1,-
කාර්ය,1,-
ගෙදර,1,-
පරිපාලන,1,-
ලියමි,1,-
සමානයේ,1,-
ඉන්දු,1,-
එකතුකෙරේ,1,-
පෙර,1,-
මිනිසුන්ට,0,ලියමි
කතාකළා,1,-
නැගෙන්නා,1,-
හොඳ,1,-
ඉගැන්වුවා,1,-
ලියමි,1,-
සමානයේ,1,-
අතේ,0,ගැටලූවක්
සටහන,1,-
දියුණුම,0,අර්ථවත්
සන්සුන්,1,-
අපි,1,-
ගොඩනැගුවා,1,-
සහද,0,ඇවිදිමු
හදුවා,1,-
මිනිසුන්ට,0,නැගෙන්නා
නොවැලැක්විය,1,-
දැනු,0,ගමනක්
විධිමත්ත,0,විසින්
කාලීනට,0,නොවැලැක්විය
ඇවිදින්නා,0,මම
නොගැටුනු,1,-
අයදුම්පත්,1,-
අර්ථවත්,1,-
ගුණාත්මක,1,-
සැලැස්ම,1,-
අතේ,0,සඳහාව
දිනුව,0,හදුවා
හොඳ,1,-
අන්තර්ගත,1,-
සටහන,1,-
සඳහාව,1,-
පරිකල්පනය,1,-
අරඹමි,1,-
නොවැලැක්විය,1,-
නතරවිය,1,-
වඩිමි,1,-
නොවැලැක්වුම,0,හොඳ
පාර්ශව,1,-
අරඹන,1,-
දිනුව,0,ඉස්මතු
හොඳ,1,-
අවශ්‍යව,0,ගැටලු
පාර්ශවට,0,වෙනුවෙන්
වෙලාවටා,0,කියවමි
එකලඟට,0,ගුණාත්මක
පරිකල්පනය,1,-
පරිපාලන,1,-
පෙරට,0,හදුවා
සංචාරක,1,-
දියුණුම,0,අරඹනවා
තෙර,1,-
කාලීනට,0,දිගහැරීම
සතුටට,0,උපදෙස්
සඳහාව,1,-
දැනු,0,සහ
පරිපාලන,1,-
සතුට,1,-
සංචාරක,1,-
ඉස්මතු,1,-
ගැටලු,1,-
සතුට,1,-
කෙරෙමින්,1,-
උපදෙස්ට,0,දිගහැරීම
විධිමත්ත,0,පහසුකම්
කියවති,0,කාලීන
පෙර,1,-
හොඳ,1,-
අර්ථවත්ට,0,කියවීම
වෙනුවෙන්,1,-
පරිපාලනට,0,ආරක්ෂාව
